onset	duration	sample	value
0.5	0.001	500	S 10
1.75	0.001	1750	S 18
2.75	0.001	2750	S 26
4.367	0.001	4367	S 34
4.784	0.001	4784	S 42
5.55	0.001	5550	S 10
6.8	0.001	6800	S 18
7.8	0.001	7800	S 26
9.416	0.001	9416	S 34
9.833	0.001	9833	S 42
10.6	0.001	10600	S 51
11.849	0.001	11849	S 19
12.849	0.001	12849	S 27
14.466	0.001	14466	S 35
14.882	0.001	14882	S 43
15.65	0.001	15650	S 50
16.9	0.001	16900	S 18
17.9	0.001	17900	S 26
19.517	0.001	19517	S 34
19.934	0.001	19934	S 42
20.7	0.001	20700	S 51
21.95	0.001	21950	S 19
22.949	0.001	22949	S 27
24.566	0.001	24566	S 35
24.983	0.001	24983	S 43
25.75	0.001	25750	S 11
27	0.001	27000	S 19
28	0.001	28000	S 27
29.616	0.001	29616	S 35
30.033	0.001	30033	S 43
30.8	0.001	30800	S 10
32.05	0.001	32050	S 18
33.049	0.001	33049	S 26
34.666	0.001	34666	S 34
35.083	0.001	35083	S 42
35.85	0.001	35850	S 50
37.1	0.001	37100	S 18
38.1	0.001	38100	S 26
39.717	0.001	39717	S 34
40.133	0.001	40133	S 42
40.9	0.001	40900	S 49
42.15	0.001	42150	S 17
43.15	0.001	43150	S 25
44.767	0.001	44767	S 33
45.184	0.001	45184	S 41
45.95	0.001	45950	S 11
47.2	0.001	47200	S 19
48.2	0.001	48200	S 27
49.816	0.001	49816	S 35
50.233	0.001	50233	S 43
51	0.001	51000	S  9
52.25	0.001	52250	S 17
53.25	0.001	53250	S 25
54.867	0.001	54867	S 33
55.283	0.001	55283	S 41
56.05	0.001	56050	S 51
57.3	0.001	57300	S 19
58.3	0.001	58300	S 27
59.917	0.001	59917	S 35
60.334	0.001	60334	S 43
61.1	0.001	61100	S 49
62.349	0.001	62349	S 17
63.349	0.001	63349	S 25
64.966	0.001	64966	S 33
65.383	0.001	65383	S 41
66.15	0.001	66150	S 11
67.4	0.001	67400	S 19
68.4	0.001	68400	S 27
70.016	0.001	70016	S 35
70.433	0.001	70433	S 43
71.2	0.001	71200	S  9
72.449	0.001	72449	S 17
73.45	0.001	73450	S 25
75.066	0.001	75066	S 33
75.483	0.001	75483	S 41
76.25	0.001	76250	S 50
77.499	0.001	77499	S 18
78.499	0.001	78499	S 26
80.116	0.001	80116	S 34
80.532	0.001	80532	S 42
81.3	0.001	81300	S 51
82.55	0.001	82550	S 19
83.55	0.001	83550	S 27
85.167	0.001	85167	S 35
85.584	0.001	85584	S 43
86.35	0.001	86350	S 51
87.6	0.001	87600	S 19
88.6	0.001	88600	S 27
90.217	0.001	90217	S 35
90.634	0.001	90634	S 43
91.4	0.001	91400	S 51
92.65	0.001	92650	S 19
93.65	0.001	93650	S 27
95.267	0.001	95267	S 35
95.683	0.001	95683	S 43
96.45	0.001	96450	S  9
97.7	0.001	97700	S 17
98.7	0.001	98700	S 25
100.316	0.001	100316	S 33
100.733	0.001	100733	S 41
101.5	0.001	101500	S 51
102.75	0.001	102750	S 19
103.75	0.001	103750	S 27
105.367	0.001	105367	S 35
105.784	0.001	105784	S 43
106.55	0.001	106550	S 11
107.8	0.001	107800	S 19
108.8	0.001	108800	S 27
110.417	0.001	110417	S 35
110.833	0.001	110833	S 43
111.6	0.001	111600	S 49
112.85	0.001	112850	S 17
113.85	0.001	113850	S 25
115.467	0.001	115467	S 33
