onset	duration	sample	value
0.5	0.001	500	S 16
1.75	0.001	1750	S 24
2.75	0.001	2750	S 32
4.366	0.001	4366	S 40
4.783	0.001	4783	S 48
5.55	0.001	5550	S 55
6.8	0.001	6800	S 23
7.8	0.001	7800	S 31
9.417	0.001	9417	S 39
9.833	0.001	9833	S 47
10.6	0.001	10600	S 55
11.85	0.001	11850	S 23
12.85	0.001	12850	S 31
14.467	0.001	14467	S 39
14.884	0.001	14884	S 47
15.65	0.001	15650	S 53
16.9	0.001	16900	S 21
17.9	0.001	17900	S 29
19.516	0.001	19516	S 37
19.933	0.001	19933	S 45
20.7	0.001	20700	S 56
21.948	0.001	21948	S 24
22.947	0.001	22947	S 32
24.564	0.001	24564	S 40
24.981	0.001	24981	S 48
25.75	0.001	25750	S 16
27	0.001	27000	S 24
28.001	0.001	28001	S 32
29.6	0.001	29600	S 40
30	0.001	30000	S 48
30.8	0.001	30800	S 54
32.05	0.001	32050	S 22
33.05	0.001	33050	S 30
34.666	0.001	34666	S 38
35.083	0.001	35083	S 46
35.85	0.001	35850	S 53
37.1	0.001	37100	S 21
38.1	0.001	38100	S 29
39.7	0.001	39700	S 37
40.1	0.001	40100	S 45
40.9	0.001	40900	S 16
42.15	0.001	42150	S 24
43.15	0.001	43150	S 32
44.767	0.001	44767	S 40
45.183	0.001	45183	S 48
45.95	0.001	45950	S 14
47.2	0.001	47200	S 22
48.2	0.001	48200	S 30
49.816	0.001	49816	S 38
50.233	0.001	50233	S 46
51	0.001	51000	S 55
52.25	0.001	52250	S 23
53.25	0.001	53250	S 31
54.85	0.001	54850	S 39
55.25	0.001	55250	S 47
56.05	0.001	56050	S 13
57.3	0.001	57300	S 21
58.3	0.001	58300	S 29
59.9	0.001	59900	S 37
60.3	0.001	60300	S 45
61.1	0.001	61100	S 15
62.35	0.001	62350	S 23
63.35	0.001	63350	S 31
64.966	0.001	64966	S 39
65.383	0.001	65383	S 47
66.15	0.001	66150	S 13
67.4	0.001	67400	S 21
68.4	0.001	68400	S 29
70	0.001	70000	S 37
70.4	0.001	70400	S 45
71.2	0.001	71200	S 54
72.45	0.001	72450	S 22
73.45	0.001	73450	S 30
75.05	0.001	75050	S 38
75.45	0.001	75450	S 46
76.25	0.001	76250	S 16
77.5	0.001	77500	S 24
78.5	0.001	78500	S 32
80.1	0.001	80100	S 40
80.5	0.001	80500	S 48
81.3	0.001	81300	S 13
82.549	0.001	82549	S 21
83.549	0.001	83549	S 29
85.149	0.001	85149	S 37
85.549	0.001	85549	S 45
86.35	0.001	86350	S 55
87.6	0.001	87600	S 23
88.6	0.001	88600	S 31
90.2	0.001	90200	S 39
90.6	0.001	90600	S 47
91.4	0.001	91400	S 55
92.65	0.001	92650	S 23
93.65	0.001	93650	S 31
95.25	0.001	95250	S 39
95.65	0.001	95650	S 47
95.95	0.001	95950	S  6
96.45	0.001	96450	S 14
97.7	0.001	97700	S 22
98.7	0.001	98700	S 30
100.3	0.001	100300	S 38
100.7	0.001	100700	S 46
101.5	0.001	101500	S 53
102.75	0.001	102750	S 21
103.75	0.001	103750	S 29
105.35	0.001	105350	S 37
105.75	0.001	105750	S 45
106.05	0.001	106050	S  8
106.55	0.001	106550	S 16
107.8	0.001	107800	S 24
108.8	0.001	108800	S 32
110.4	0.001	110400	S 40
110.8	0.001	110800	S 48
111.1	0.001	111100	S  5
111.6	0.001	111600	S 13
112.85	0.001	112850	S 21
113.85	0.001	113850	S 29
115.466	0.001	115466	S 37
115.883	0.001	115883	S 45
116.65	0.001	116650	S 14
117.9	0.001	117900	S 22
118.9	0.001	118900	S 30
120.5	0.001	120500	S 38
120.9	0.001	120900	S 46
121.7	0.001	121700	S 55
122.95	0.001	122950	S 23
123.95	0.001	123950	S 31
125.567	0.001	125567	S 39
125.967	0.001	125967	S 47
126.75	0.001	126750	S 55
128	0.001	128000	S 23
129	0.001	129000	S 31
130.6	0.001	130600	S 39
131	0.001	131000	S 47
131.8	0.001	131800	S 56
133.05	0.001	133050	S 24
134.05	0.001	134050	S 32
135.666	0.001	135666	S 40
136.066	0.001	136066	S 48
136.85	0.001	136850	S 15
138.1	0.001	138100	S 23
139.1	0.001	139100	S 31
140.7	0.001	140700	S 39
141.1	0.001	141100	S 47
141.9	0.001	141900	S 55
