name	x	y	z
Fp1	0.951057	0.309017	0.000000
Fz	0.707107	0.000000	0.707107
F3	0.673028	0.545007	0.500000
FC5	0.349725	0.865601	0.358368
FC1	0.370487	0.357776	0.857167
C3	0.000000	0.707107	0.707107
CP5	-0.334565	0.871572	0.358368
CP1	-0.370487	0.357776	0.857167
Pz	-0.707107	-0.000000	0.707107
P3	-0.673028	0.545007	0.500000
P7	-0.587785	0.809017	0.000000
PO7	-0.809017	0.587785	0.000000
PO3	-0.891266	0.360095	0.275637
O1	-0.951057	0.309017	0.000000
Oz	-1.000000	-0.000000	0.000000
O2	-0.951057	-0.309017	0.000000
PO8	-0.809017	-0.587785	0.000000
PO4	-0.891266	-0.360095	0.275637
P4	-0.673028	-0.545007	0.500000
P8	-0.587785	-0.809017	0.000000
CP6	-0.334565	-0.871572	0.358368
CP2	-0.370487	-0.357776	0.857167
Cz	0.000000	0.000000	1.000000
C4	0.000000	-0.707107	0.707107
FC6	0.334565	-0.871572	0.358368
FC2	0.370487	-0.357776	0.857167
F4	0.673028	-0.545007	0.500000
Fp2	0.951057	-0.309017	0.000000
HEOG	0.587785	0.809017	0.000000
VEOG	0.587785	-0.809017	0.000000
